0.906667,0.060000,0.000000,0.000000,0.003333,0.000000,0.003333,0.000000,0.000000,0.000000,0.003333,0.000000,0.000000,0.013333,0.003333,0.000000,0.006667
0.173333,0.663333,0.006667,0.016667,0.023333,0.003333,0.003333,0.000000,0.036667,0.000000,0.020000,0.003333,0.006667,0.023333,0.003333,0.013333,0.003333
0.016667,0.003333,0.413333,0.030000,0.093333,0.326667,0.030000,0.000000,0.010000,0.020000,0.020000,0.020000,0.003333,0.006667,0.000000,0.006667,0.000000
0.010000,0.003333,0.123333,0.210000,0.323333,0.063333,0.000000,0.026667,0.013333,0.020000,0.026667,0.003333,0.070000,0.026667,0.016667,0.046667,0.016667
0.003333,0.016667,0.060000,0.083333,0.513333,0.066667,0.003333,0.026667,0.036667,0.010000,0.040000,0.000000,0.083333,0.013333,0.003333,0.030000,0.010000
0.006667,0.000000,0.173333,0.070000,0.036667,0.563333,0.100000,0.000000,0.000000,0.013333,0.006667,0.020000,0.003333,0.000000,0.000000,0.006667,0.000000
0.006667,0.000000,0.143333,0.000000,0.003333,0.200000,0.326667,0.000000,0.013333,0.076667,0.013333,0.210000,0.003333,0.000000,0.000000,0.000000,0.003333
0.000000,0.003333,0.000000,0.023333,0.076667,0.010000,0.000000,0.746667,0.013333,0.000000,0.010000,0.000000,0.040000,0.013333,0.006667,0.046667,0.010000
0.000000,0.013333,0.013333,0.013333,0.070000,0.003333,0.003333,0.010000,0.473333,0.023333,0.273333,0.000000,0.023333,0.063333,0.000000,0.016667,0.000000
0.010000,0.000000,0.043333,0.006667,0.026667,0.006667,0.010000,0.003333,0.043333,0.590000,0.240000,0.003333,0.000000,0.010000,0.000000,0.006667,0.000000
0.000000,0.010000,0.040000,0.030000,0.063333,0.006667,0.003333,0.000000,0.206667,0.146667,0.446667,0.000000,0.010000,0.020000,0.000000,0.013333,0.003333
0.020000,0.010000,0.050000,0.006667,0.010000,0.050000,0.146667,0.033333,0.010000,0.013333,0.020000,0.620000,0.000000,0.003333,0.000000,0.006667,0.000000
0.010000,0.000000,0.010000,0.100000,0.300000,0.013333,0.000000,0.040000,0.023333,0.000000,0.026667,0.000000,0.380000,0.023333,0.006667,0.056667,0.010000
0.023333,0.010000,0.000000,0.026667,0.093333,0.000000,0.000000,0.003333,0.063333,0.000000,0.013333,0.000000,0.023333,0.556667,0.040000,0.096667,0.050000
0.013333,0.003333,0.000000,0.010000,0.010000,0.003333,0.000000,0.003333,0.003333,0.003333,0.003333,0.000000,0.013333,0.090000,0.646667,0.153333,0.043333
0.006667,0.010000,0.003333,0.073333,0.053333,0.006667,0.000000,0.020000,0.006667,0.006667,0.010000,0.000000,0.026667,0.116667,0.223333,0.420000,0.016667
0.006667,0.040000,0.000000,0.016667,0.040000,0.000000,0.000000,0.006667,0.026667,0.000000,0.010000,0.000000,0.060000,0.040000,0.053333,0.023333,0.676667
